fold,test_flare,test_rmse,test_mae,test_loss,train_samples,val_samples,test_samples
0,2011-02-13 17:38:00,1.7608052,1.055031,3.1004350185394287,48,6,1
1,2011-03-09 23:23:00,5.8753657,4.1569185,34.51992416381836,48,6,1
2,2011-07-30 02:09:00,2.8033257,2.3064973,7.858634948730469,48,6,1
3,2011-08-03 13:48:00,3.187011,2.362397,10.157039642333984,48,6,1
4,2011-08-04 03:57:00,1.4724146,1.4553075,2.1680049896240234,48,6,1
5,2011-09-06 01:50:00,1.4675659,1.3968745,2.153749942779541,48,6,1
6,2011-09-06 22:20:00,1.1513022,0.8202975,1.325496792793274,48,6,1
7,2011-09-07 22:38:00,3.844908,3.0444272,14.783316612243652,48,6,1
8,2011-09-08 15:46:00,7.073133,5.382311,50.029212951660156,48,6,1
9,2011-09-25 04:50:00,2.430602,2.1362088,5.907826900482178,48,6,1
10,2012-01-23 03:59:00,1.1132536,1.109972,1.2393336296081543,48,6,1
11,2012-03-07 00:24:00,4.436577,4.122669,19.683212280273438,48,6,1
12,2012-03-07 01:14:00,3.768723,3.0026095,14.203272819519043,48,6,1
13,2012-03-09 03:53:00,5.997566,4.943521,35.970802307128906,48,6,1
14,2012-03-10 17:44:00,2.1429832,1.8566809,4.592377185821533,48,6,1
15,2012-05-10 04:18:00,2.8665066,1.9838735,8.216859817504883,48,6,1
